Item,Cost (AUD),Cost (USD),Source,Link
2207 Motors x4,0,0,Owned,N/A
Speedybee F405 FC,0,0,Owned,N/A
Speedybee 55A ESC,0,0,Owned,N/A
Reciever Module,0,0,Owned,N/A
,,0,,
Speedybee 55A ESC,60,39,Aliexpress,
2207 Motors x4,57,37.05,Aliexpress,
VTX,40,26,Aliexpress,
FPV Camera,38,24.7,Aliexpress,
Servo,15,9.75,Aliexpress,
ESP32 C3,12,7.8,Aliexpress,
"7"" Folding Props",30,19.5,Aliexpress,
"Misc (bolts, standoffs)",25,16.25,Aliexpress,
,,,,
Aluminium Arms,100,65,Alibaba,PDF Quote
Carbon Fibre,120,78,Alibaba,PDF Quote
Middle Block,55,35.75,JLCCNC,PDF Quote
Transmitter PCB,5,3.25,JLCPCB,PDF Quote
,,,,
Battery ,109,70.85,PhaserFPV,
,,,,
,,,,
,,,,
,,,,
  ,,,,
Total,666,432.9,,
,,,,
,,Total Over,82.9,
,,,128.495,
