Item,Cost (AUD),Cost (USD),Source,Link
White PETG (11kg),187,121.55,Siddament,https://siddament.com.au/products/white-petg-1-75mm-1kg
Black TPU (3kg),72,46.8,Siddament,https://siddament.com.au/products/black-tpu-1-75mm-1kg
Linear Actuators x2,160,104,Aliexpress ,https://vi.aliexpress.com/item/1005006477151440.html
Breaker,9,5.85,Aliexpress ,thttps://vi.aliexpress.com/item/1005006273365319.html
Control Board,7,4.55,Aliexpress ,https://vi.aliexpress.com/item/1005004227086403.html
Control Panel,11,7.15,Aliexpress ,https://vi.aliexpress.com/item/1005004227086403.html
Battery,29,18.85,Jaycar,https://www.jaycar.com.au/12v-6-5ah-sla-battery/p/SB2485
Bearings,20,13,Aliexpress ,https://vi.aliexpress.com/item/1005006822613982.html
Misc Hardware,40,26,Misc (Aliexpress),
,,,,
,,,,
,,,,
,,,,
Total,535,347.75,,
